STATION,NAME,DATE,AWND,PRCP,SNOW,TAVG
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-08,11,2.36,0,84.5
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-09,11.2,2.05,0,80.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-10,12.1,0.11,0,74.3
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-11,12.8,1.83,0,68
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1989-12,11.9,1.51,0,48
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-01,12.8,0.42,0,61.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-02,13.4,3.96,0,64.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-03,14.8,2.98,0,66.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-04,15.7,3.4,0,72.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-05,13.6,1.26,0,79.2
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-06,14.1,0.89,0,84.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-07,11.4,1.74,0,83.4
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-08,11.6,0.69,0,85.6
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-09,9.4,2.67,0,81.8
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-10,11,1.35,0,73.1
USW00012924,"CORPUS CHRISTI INTERNATIONAL AIRPORT, TX US",1990-11,12.5,1.34,0,68.5
